DATE_TIME,PLANT_ID,IRRADIATION(W/m²),WIND_SPEED(m/s),CLOUD_COVER(%),AMBIENT_TEMPERATURE(°C),THEORETICAL_MODULE_TEMPERATURE(°C),ACTUAL_MODULE_TEMPERATURE(°C),THEORETICAL_DC_POWER(kW),THEORETICAL_AC_POWER(kW),ACTUAL_DC_POWER(kW),ACTUAL_AC_POWER(kW),DC_EFFICIENCY,AC_EFFICIENCY,INVERTOR_EFFICIENCY,DAILY_YIELD(kWh),TOTAL_YIELD(kWh),THEORETICAL_DC_PER_KWP,THEORETICAL_AC_PER_KWP,DC_RESIDUAL(kW),AC_RESIDUAL(kW)
2020-06-05 05:45:00,4136001,0.946964667,3.3888888888888884,18.75,23.482278566666665,23.50193329200913,22.69325356666667,24.33516662604862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601614.996326382,0.0009526391319651054,0.0,-24.33516662604862,0.0
2020-06-05 06:00:00,4136001,6.1887873206896,3.3611111111111107,3.0,23.48507603448276,23.61403597031709,22.861815448275863,158.9690145802173,153.42635179062717,90.63190476190476,87.47190476190477,0.0034033113187196123,0.003366924989245749,0.9651336909634471,21.867976190476192,2601636.8643025723,0.006223097067144933,0.006006120641637392,-68.33710981831254,-65.9544470287224
2020-06-05 06:15:00,4136001,22.0205288,3.4305555555555554,11.0,23.5497906,24.00415000988342,23.19854326666667,564.7551280673697,545.6132903782324,678.81,655.802380952381,0.02548993935776913,0.025242818599247686,0.9661059515216055,185.81857142857143,2601800.8148978106,0.02210824537355137,0.02135890743308798,114.05487193263025,110.18909057414862
2020-06-05 06:30:00,4136001,44.1504464333333,3.5,19.0,23.611078866666663,24.513213039803837,23.604514566666666,1130.0191925588688,1094.3617251024814,1336.0604761904765,1293.9014285714286,0.05017029878229165,0.04980420930967562,0.9684452550087729,509.2939285714286,2602124.2902549533,0.04423641387977564,0.042840545120472945,206.0412836316077,199.5397034689472
2020-06-05 06:45:00,4136001,87.7622152413793,3.569444444444444,27.0,23.88723224137932,25.663256024469057,24.89371882758621,2235.938011319879,2179.114088225659,2772.872380952381,2702.402857142857,0.10412390630266068,0.10401954473827857,0.9745860919191239,1184.8946428571428,2602799.890969239,0.08752937996946092,0.08530491635254096,536.9343696325018,523.288768917198
2020-06-05 07:00:00,4136001,122.3387135,3.638888888888889,35.0,24.3056306,26.757799641892163,26.727956066666668,3103.1689393355355,3034.542118261711,3665.609523809524,3584.5442857142857,0.13764700648364897,0.13797449322134406,0.9778849226660153,2081.030714285714,2603696.027040668,0.12147852571288062,0.11879201872232183,562.4405844739886,550.0021674525747
2020-06-05 07:15:00,4136001,140.26246066666658,3.5208333333333335,48.25,24.58904119999999,27.446728984172893,28.138516133333333,3547.9379933227115,3477.6648406757868,4417.034761904762,4329.547619047619,0.16586371476865486,0.16665079044956918,0.9801932410377012,3163.417619047619,2604778.413945429,0.1388897237550484,0.1361387684742919,869.0967685820501,851.8827783718325
2020-06-05 07:30:00,4136001,154.91887310344828,3.4027777777777777,61.5,24.888433965517248,28.097525070715555,29.01180513793103,3908.3699981875575,3831.8924186254235,4797.838571428571,4703.95619047619,0.18016324779257817,0.18106233869196744,0.9804323593729358,4339.406666666667,2605954.4029930485,0.15299941272998854,0.15000557520553626,889.4685732410139,872.0637718507669
2020-06-05 07:45:00,4136001,200.846841,3.284722222222222,74.75,24.9963226,29.22757221289303,29.5161509,5043.872074876657,4948.492782032913,6118.149523809524,6002.455714285715,0.22974213748128175,0.23104353559328425,0.9810900650476794,5840.020595238095,2607455.01692162,0.19745046290376422,0.19371668749394844,1074.2774489328667,1053.9629322528017
2020-06-05 08:00:00,4136001,216.0856144827586,3.1666666666666665,88.0,25.38429096551725,30.015358571234323,31.102873689655173,5409.1697699820115,5311.327182628248,6865.586666666667,6741.4,0.2578090891248533,0.2594866109785058,0.9819117181537289,7525.370595238095,2609140.36692162,0.21175062712789242,0.20792042210327843,1456.4168966846555,1430.0728173717516
2020-06-05 08:15:00,4136001,388.82531833333326,3.013888888888889,86.5,25.930556166666666,34.45462321332529,34.080560266666666,9556.908959560904,9370.41634976662,11260.51761904762,11040.780952380952,0.42284278553146637,0.42497624112044574,0.980486095390946,10285.565833333334,2611900.562159715,0.3741205308107616,0.36681997846023173,1703.6086594867156,1670.3646026143324
2020-06-05 08:30:00,4136001,569.942412413793,2.861111111111111,85.0,26.913648793103448,39.70122816070033,40.7417414137931,13703.027680268318,13415.105667812479,16717.666666666668,16366.40238095238,0.6277637476418023,0.6299674085121609,0.9789884382361401,14377.166428571429,2615992.1627549534,0.5364269986403726,0.5251558296266384,3014.6389863983495,2951.296713139902
2020-06-05 08:45:00,4136001,510.6229946666669,2.7083333333333335,83.5,27.553101733333328,39.28481901458932,43.09634683333332,12298.547430011482,12042.6288769905,15154.705714285716,14839.35380952381,0.5690731274465318,0.5711890155078044,0.9791911561525977,18087.00488095238,2619702.0012073345,0.4814463664126632,0.4714280241530828,2856.1582842742337,2796.7249325333087
2020-06-05 09:00:00,4136001,521.611014,2.5555555555555554,82.0,27.474611433333337,39.75359010564972,40.47210883333334,12538.213358607745,12274.36471484652,15710.56380952381,15379.957619047618,0.5899461097820072,0.5919976680748384,0.9789564401071477,21931.994285714285,2623546.990612096,0.49082847361940674,0.48049969523767944,3172.350450916065,3105.5929042010976
2020-06-05 09:15:00,4136001,829.5012827586206,2.659722222222222,64.0,28.375374620689666,47.5801273615271,45.23055913793104,19275.753873692487,18841.35254520865,19992.17333333333,19541.626666666667,0.7507244823981316,0.7521865601715562,0.9774638475189961,26817.40095238095,2628432.397278763,0.7545803043136616,0.7375749675164867,716.4194596408415,700.2741214580165
2020-06-05 09:30:00,4136001,737.069957,2.763888888888889,46.0,28.9215555,45.709391896765744,48.03612473333335,17268.74888218371,16871.793835893823,16325.32142857143,15950.052857142857,0.6130308233679155,0.6139414900210689,0.977013097532536,30804.914166666666,2632419.910493049,0.6760128746206189,0.6604734326049647,-943.4274536122812,-921.740978750966
2020-06-05 09:45:00,4136001,759.4489110344828,2.8680555555555554,28.0,29.35511203448276,46.376435753527595,47.91289651724137,17741.300549230855,17316.092536116128,16446.713333333333,16052.532857142858,0.6175892009564969,0.6178860991368427,0.976032872452907,34818.04738095238,2636433.0437073344,0.6945116676152223,0.677866217894544,-1294.5872158975217,-1263.55967897327
